Id,Location,Matrix,Created at,Updated at,Latitude,Longitude,Name,model,Property number,Group,Zone,Description,Status,Device sn,Scannable,Slot,Factory seq,Ipcam mac,Ipcam type,Id [Coordinate systems],Name [Coordinate systems],Created at [Coordinate systems],Updated at [Coordinate systems],Client [Coordinate systems],Info page url [Coordinate systems],Tourist map [Coordinate systems]
3422,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月26日 14:48,2024年03月13日 22:40,22.6535,120.314,L-3422,KM20,L-05-L-0429,25, - ,"綠有耳
1/15-出庫/高雄觀光工廠/mike",租借,112108003422005,true,M-1, - , - ,none,347,觀光工廠-彪琥,2024年01月24日 10:37,2024年01月26日 14:23,1,https://cloud.lig.com.tw/messages/130,<空>
3424,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月26日 14:47,2024年03月03日 09:33, - , - ,L-3424,KM20,L-05-L-0427,0, - ,綠有耳,庫存,112108003424005,true, - , - , - ,none,,,,,,,
3430,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2022年01月05日 16:14,2024年03月03日 09:33, - , - ,L-3430,KM20,L-05-L-0573,0, - ,綠有耳,庫存,112108003430005,false,M-2, - , - ,none,,,,,,,
3435,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月26日 14:27,2024年03月03日 09:33, - , - ,L-3435,KM20,L-05-L-0404,0, - ,綠有耳,庫存,112108003435005,false,M-1, - , - ,none,,,,,,,
3436,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月25日 15:06,2024年03月03日 09:33, - , - ,L-3436,KM20,L-05-L-0366,0, - ,"綠有耳
1/15-出庫/高雄觀光工廠/mike",租借,112108003436005,true,M-4, - , - ,none,53,高雄亞灣新創園,2021年09月30日 17:31,2023年03月29日 12:09,1, - ,<空>
3438,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月26日 15:11,2024年03月03日 09:33, - , - ,L-3438-信義-109燈桿,KM20,L-05-L-0450,0, - ,綠有耳,維修,112108003438005,true, - , - , - ,none,,,,,,,
3444,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月26日 14:43,2024年03月03日 09:33, - , - ,L-3444,KM20,L-05-L-0421,0, - ,綠有耳,庫存,112108003444005,false,N-2, - , - ,none,,,,,,,
3447,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月26日 14:54,2024年03月03日 09:33, - , - ,L-3447,KM20,L-05-L-0437,0, - ,綠有耳,庫存,112108003447005,false,N-2, - , - ,none,,,,,,,
3453,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月25日 15:09,2024年03月03日 09:33, - , - ,L-3453,KM20,L-05-L-0368,0, - ,綠有耳,庫存,112108003453005,false,M-4, - , - ,none,,,,,,,
3455,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月26日 14:49,2024年03月03日 09:33, - , - ,L-3455,KM20,L-05-L-0430,0, - ,綠有耳,庫存,112108003455005,false,N-2, - , - ,none,,,,,,,
